experiment_id,timestamp,host,in_num,in_unit,out_num,out_unit,in_pac_num,in_pac_unit,out_pac_num,out_pac_unit
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366416,s1-eth1,10.00,Mb/s,0.50,Mb/s,844.0,p/s,846.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366416,s1-eth2,9.63,Mb/s,0.48,Mb/s,813.0,p/s,817.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366416,s1-eth3,7.58,Mb/s,0.38,Mb/s,639.0,p/s,642.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366416,s1-eth4,0.50,Mb/s,10.00,Mb/s,843.0,p/s,846.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366416,s1-eth5,0.48,Mb/s,9.66,Mb/s,816.0,p/s,818.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366416,s1-eth6,0.38,Mb/s,7.57,Mb/s,639.0,p/s,641.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366417,total,26.76,Mb/s,26.86,Mb/s,4328.0,p/s,4349.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366417,ens4,0.01,Mb/s,0.01,Mb/s,10.0,p/s,8.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366417,ovs-system,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366417,s1,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366417,s1-eth1,9.71,Mb/s,0.49,Mb/s,819.0,p/s,820.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366417,s1-eth2,8.86,Mb/s,0.45,Mb/s,747.0,p/s,757.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366417,s1-eth3,6.90,Mb/s,0.36,Mb/s,583.0,p/s,602.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366417,s1-eth4,0.49,Mb/s,9.70,Mb/s,820.0,p/s,819.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366417,s1-eth5,0.45,Mb/s,8.88,Mb/s,754.0,p/s,751.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366417,s1-eth6,0.35,Mb/s,6.98,Mb/s,595.0,p/s,592.0,p/s
